Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42554599,"The Gods of Men (Gods of Men, #1)",Barbara Kloss,"Kloss, Barbara",,"=""""","=""""",0,4.21,,Kindle Edition,452,2018,2018,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#343), tbr-fantasy-indie (#10)",to-read,,,,0,0
55387463,"Blade's Edge (Chronicles of Gensokai, #1)",Virginia McClain,"McClain, Virginia",,"=""150305733X""","=""9781503057333""",0,3.98,Virginia McClain,Paperback,391,2020,2015,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#344), tbr-fantasy-indie (#9)",to-read,,,,0,0
25956789,"Larcout (Fire Born, Blood Blessed #1)",K.A. Krantz,"Krantz, K.A.",,"=""0986253707""","=""9780986253706""",0,4.27,K.A.Krantz,Paperback,388,2015,2015,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#345), tbr-fantasy-indie (#8)",to-read,,,,0,0
42983504,"A Sea of Broken Glass (The Lady & The Darkness, #1)",Sonya M. Black,"Black, Sonya M.",,"=""""","=""""",0,3.36,Sonya M. Black,Kindle Edition,,2019,,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#346), tbr-fantasy-indie (#7)",to-read,,,,0,0
57597498,"Shadow of a Dead God (Mennik Thorn, #1)",Patrick Samphire,"Samphire, Patrick",,"=""""","=""""",0,4.07,Five Fathoms Press,Kindle Edition,462,2021,2020,,2022/02/27,"to-read, tbr-fantasy-indie","to-read (#347), tbr-fantasy-indie (#6)",to-read,,,,0,0
60382749,Ruination: A League of Legends Novel,Anthony Reynolds,"Reynolds, Anthony",,"=""031646905X""","=""9780316469050""",0,4.08,Orbit,Hardcover,448,2022,2022,,2022/03/31,"to-read, tbr-fantasy, on-deck","to-read (#363), tbr-fantasy (#68), on-deck (#5)",to-read,,,,0,0
6951425,"Shadow's Son (Shadow Saga, #1)",Jon Sprunk,"Sprunk, Jon",,"=""1616142014""","=""9781616142018""",0,3.58,Pyr,Paperback,278,2010,2010,,2022/04/02,"to-read, tbr-fantasy-indie","to-read (#366), tbr-fantasy-indie (#5)",to-read,,,,0,0
30036,"Elric of Melniboné (The Elric Saga, #1)",Michael Moorcock,"Moorcock, Michael",,"=""0441203981""","=""9780441203987""",0,3.89,Ace Books,Mass Market Paperback,181,1987,1972,,2022/04/30,"to-read, tbr-classics","to-read (#375), tbr-classics (#4)",to-read,,,,0,0
40500762,The Broken Sword,Poul Anderson,"Anderson, Poul",,"=""""","=""""",0,3.86,Open Road Media Sci-Fi & Fantasy,Kindle Edition,208,2014,1954,,2022/04/30,"to-read, tbr-classics","to-read (#374), tbr-classics (#3)",to-read,,,,0,0
14686,The King of Elfland's Daughter,Lord Dunsany,"Dunsany, Lord",Neil Gaiman,"=""034543191X""","=""9780345431912""",0,3.83,Del Rey,Paperback,240,1999,1924,,2022/04/30,"to-read, tbr-classics","to-read (#373), tbr-classics (#2)",to-read,,,,0,0
